Task,Objective,Stakeholder,Deadline,Urgent?,Important?,Eisenhower,Reach,Impact,Confidence,Effort,RICE Score,Status,Weekly Focus (✔),Notes
"Finalize ABC for AI i Virksomheder workshop content & slides","O2 – Brandopbygning & undervisning","You","2025-06-07","TRUE","TRUE","",30,8,0.8,6,"","Not Started","TRUE","March workshop content"
"Send VMS follow‑up email w/ links & proposal","O1 – Sikre omsætningsfundament","You","2025-06-05","TRUE","TRUE","",5,6,0.9,2,"","Not Started","TRUE","Thomas Fisker‑Jepsen"
"Issue certificates to VMS participants","O1 – Sikre omsætningsfundament","AC","2025-06-08","FALSE","TRUE","",30,5,0.9,1,"","Delegated","FALSE",""
"Finalize HARKA modular fractal logo files","O4 – HARKA POC","You","2025-06-06","TRUE","TRUE","",1,7,0.8,3,"","Not Started","TRUE",""
"Deploy HARKA site MVP (Coolify)","O4 – HARKA POC","You","2025-06-10","FALSE","TRUE","",100,8,0.7,10,"","In Progress","FALSE",""
"Record first HARKA training module","O4 – HARKA POC","You","2025-06-13","FALSE","TRUE","",50,9,0.7,8,"","Not Started","FALSE",""
"Fix small‑screen text overflow in DOZY watch app","O5 – Launch DOZY","You","2025-06-09","TRUE","TRUE","",1000,8,0.8,4,"","In Progress","TRUE",""
"Generate DOZY campaign images & SORA video","O5 – Launch DOZY","You","2025-06-11","FALSE","TRUE","",5000,7,0.7,6,"","Not Started","FALSE",""
"Rebuild DOZY landing page with MagicUI styles","O5 – Launch DOZY","You","2025-06-12","FALSE","TRUE","",5000,9,0.7,10,"","In Progress","FALSE",""
"Fix onRequestEdited syntax bug","O6 – Consent Diagnostic Tool","You","2025-06-08","TRUE","TRUE","",100,7,0.9,3,"","Not Started","TRUE",""
"Add Bing & Brevo definitions","O6 – Consent Diagnostic Tool","You","2025-06-11","FALSE","TRUE","",100,6,0.8,4,"","Not Started","FALSE",""
"Implement MongoDB backend & Express API","O7 – UTM Attribution MVP","You","2025-06-15","FALSE","TRUE","",50,9,0.7,12,"","In Progress","FALSE",""
"Build basic UTM analytics dashboard","O7 – UTM Attribution MVP","You","2025-06-17","FALSE","TRUE","",50,8,0.7,10,"","Not Started","FALSE",""
"Migrate bookkeeping to E‑conomic","O3 – Automate & Delegate","You","2025-06-18","FALSE","TRUE","",0,6,0.8,5,"","Not Started","FALSE",""
"Set up n8n flow for OKR Slack digest","O3 – Automate & Delegate","You","2025-06-14","FALSE","TRUE","",5,7,0.7,4,"","Not Started","FALSE",""
"Prepare and deliver 11 teaching days at Bigum & Co","O1: Sikre omsætningsfundament","You","2025-06-10","TRUE","TRUE","",50,8,0.9,20,"","In Progress","TRUE",""
"Submit parental leave refund application","O1: Sikre omsætningsfundament","You","2025-06-15","FALSE","TRUE","",1,5,0.8,2,"","Not Started","FALSE",""
"Draft and send proposal to potential SVC client","O1: Sikre omsætningsfundament","You","2025-06-08","TRUE","TRUE","",10,7,0.8,5,"","Not Started","TRUE",""
"Follow up with existing SVC client for contract","O1: Sikre omsætningsfundament","You","2025-06-06","TRUE","TRUE","",5,6,0.7,2,"","Not Started","FALSE",""
"Invoice clients for April","O1: Sikre omsætningsfundament","AC","2025-06-05","TRUE","FALSE","",0,3,0.9,1,"","Not Started","FALSE",""
"Draft 2 LinkedIn posts","O2: Start brandopbygning: lær og del processen","You","2025-06-07","FALSE","TRUE","",100,4,0.7,3,"","Not Started","TRUE",""
"Engage 5 new contacts on LinkedIn","O2: Start brandopbygning: lær og del processen","You","2025-06-10","FALSE","TRUE","",5,3,0.6,2,"","Not Started","FALSE",""
"Practice Python coding for 5 hours","O2: Start brandopbygning: lær og del processen","You","2025-06-10","FALSE","TRUE","",1,5,0.8,5,"","Not Started","FALSE",""
"Draft brand positioning doc for HARKA","O2: Start brandopbygning: lær og del processen","You","2025-06-13","FALSE","TRUE","",10,8,0.7,6,"","Not Started","FALSE",""
"Outline DOZY brand voice guidelines","O2: Start brandopbygning: lær og del processen","You","2025-06-13","FALSE","TRUE","",10,7,0.7,5,"","Not Started","FALSE",""
"Hand off bookkeeping to AC; send instructions","O3: Eliminate, Automate, Delegate - alt det kedelige mv.","You","2025-06-05","TRUE","TRUE","",0,4,0.9,2,"","Not Started","TRUE",""
"Migrate accounting from Dinero to E-conomic","O3: Eliminate, Automate, Delegate - alt det kedelige mv.","You","2025-06-17","FALSE","TRUE","",1,7,0.8,8,"","Not Started","FALSE",""
"Audit domain registrations and billing","O3: Eliminate, Automate, Delegate - alt det kedelige mv.","You","2025-06-13","FALSE","TRUE","",1,6,0.7,5,"","Not Started","FALSE",""
"Finalize VAT deposit with AC","O3: Eliminate, Automate, Delegate - alt det kedelige mv.","AC","2025-06-30","FALSE","TRUE","",0,5,0.9,2,"","Not Started","FALSE",""
"Build HARKA MVP environment on Coolify","O4: Proof of Concept for Ethos.ai (HARKA)","You","2025-06-17","FALSE","TRUE","",1,9,0.8,16,"","Not Started","FALSE",""
"Create first training module content draft","O4: Proof of Concept for Ethos.ai (HARKA)","You","2025-06-13","FALSE","TRUE","",1,8,0.7,8,"","Not Started","FALSE",""
"Prepare workshop materials for Ethos.ai POC","O4: Proof of Concept for Ethos.ai (HARKA)","You","2025-06-10","TRUE","TRUE","",1,8,0.8,10,"","Not Started","TRUE",""
"Launch HARKA website MVP with landing page","O4: Proof of Concept for Ethos.ai (HARKA)","You","2025-06-08","TRUE","TRUE","",50,9,0.8,12,"","Not Started","TRUE","" 